,mass_ratio_B,chirp_mass_B,luminosity_distance_B,dec_B,ra_B,theta_jn_B,psi_B,phase_B,a_1_B,a_2_B,tilt_1_B,tilt_2_B,phi_12_B,phi_jl_B,geocent_time_B
mass_ratio_A,0.00031594414398046115,-8.228847105831454e-05,-0.0006890961842909548,0.000254647063479109,0.0009347165067575828,-0.00013968371069239015,0.000773910278716959,0.00011958158968634211,-0.0006328000652960199,0.00033410556213387164,-0.00027160520291358075,-0.00023866608040549173,0.00033522953641520667,-0.00029253112756156814,0.00015433971193013266
chirp_mass_A,0.0005033268617435421,-0.0010781293924521785,-0.0002537096812572732,-0.0002820864179542108,7.283173681159655e-05,0.0006116977944822152,-0.0005933918930939221,-0.00014082335537598164,0.00018940957004107356,-0.0007412661784481334,-0.0005629601727908087,-0.00043158297563025054,0.00031252994574751646,0.0004800897038250258,0.0005948376687648387
luminosity_distance_A,0.0002041236838279205,-0.00047472770522030423,0.0004828828082377911,-0.0005527708959982979,0.0001272893277731629,0.00019366437457893782,-0.0008415048216285278,0.0008185198590405924,0.00041521197951753535,-9.26147380061798e-06,0.0013353252499762357,0.0006088109609348973,0.00020841809580913537,0.00010315924611016139,-0.0010739061185468845
dec_A,-0.0006710676890575,-0.0007772988496903699,0.00036933956779413294,-0.0007579975423524257,-0.0009921042712457801,8.415933855725075e-05,-0.0012018191115907549,-0.0002459072607058095,-0.0003163740993369991,5.7423977701705e-05,0.00034184478854094326,0.0005654121024386506,0.0013455725180941123,-0.000614726844929488,-0.0015195824417470547
ra_A,-0.0010081130744718037,-0.0007545878204126365,3.274960406055695e-05,4.180287999715194e-05,-0.0002217480257695979,-0.000970170856643988,-3.581447323578606e-05,0.0009902253069536203,-0.00041715401681861083,0.00046452498922418793,0.0006770861925584665,0.00033666177240295034,0.0010912764037264461,0.00011078745668857504,0.0010978810275498495
theta_jn_A,-0.00048386192867474315,-0.0011692014273639658,-0.0005134198818718219,-0.0006594015314853321,0.00029985540353716513,-0.0008256220167518699,-0.0010220625132731744,0.00012894379796464373,-0.00042676685406067534,-0.0005616349065706334,0.00010360751314793883,0.00011199626300609388,0.00015015241101535274,-8.203906854438728e-05,0.0011087367291681546
psi_A,-0.00012913720068904994,-0.0001138908347919665,-6.174440100396343e-05,-0.0003226568086591802,0.00016536884047123435,-0.00026199488019853985,0.0004597379314345208,-0.00033511693287884833,-0.00025503832084026106,0.0002205164905982501,-0.0006314112105741403,-0.00029643381669116367,-0.00024983157804992986,-0.00031269670836835286,9.718791791918901e-05
phase_A,0.0002248662035401351,-0.0002481534892935494,2.335750205915968e-05,0.00029011351781094803,-1.59536404542195e-07,-0.0007166671429681035,-0.0004034143881109272,-0.0005688882952143562,8.419065353256252e-05,-0.0006834340851993345,-0.00048564528403397694,-0.00037970825503969507,-2.48084895103609e-05,1.0689404674222828e-06,0.0014909122831805626
a_1_A,0.0005634496004812274,3.1984256439748184e-05,0.0007170923201144202,-3.664821064261076e-05,-0.0004360441374164512,7.211892340998734e-05,0.00023245183537845632,0.0015610398167184875,0.00022310015206832945,-0.00010680091093311532,0.0009090440773012495,0.0004062672424922457,-0.00042743345043534604,0.0009787423395909078,0.0005830791479382708
a_2_A,-0.0004894902657359055,2.760284140344235e-06,4.0435310607601734e-05,4.368458826708414e-05,0.0006733382579994338,-0.0007415381922032948,-2.5035257832254384e-05,-0.00030586078816686535,0.0010263287024463092,4.0660221154467264e-05,-0.000402108147943195,0.000207527098657429,-0.00016194563653135335,0.00043048080098780875,-0.00011890834841432931
tilt_1_A,0.00016190807599572552,-0.0002133115867468322,3.240807665500529e-05,-0.00039803223401850015,-0.0007693796032854864,3.171492696092608e-06,0.00019523861113957564,-0.0005045341878339201,-0.0004578045481169796,0.00016702564551154676,-0.0006720695289911973,0.00022823507269534795,0.00010318214477170727,-0.00031333324570246386,7.519766713225245e-05
tilt_2_A,0.00026544781091093387,-0.00011370472197061382,0.0006451210101662493,-0.00033604956973667705,-0.00030854708696111816,0.0005971050903239817,-0.0005658031516952999,0.0013403743955810801,-0.0004954973484514082,-9.546409423704789e-05,0.0005703889588913203,-7.529181379106887e-05,0.0006926383357599185,0.00020274141896602828,-0.0016133832810006441
phi_12_A,0.0005412185287608479,-0.0003272161686085696,3.030936294446279e-05,-0.000302202855268958,-0.0008208036933145621,0.00017946341379511914,-0.0006573568794675135,-0.00032279255010120403,-0.0003807453254497059,-0.0006919682110870116,-0.0002838326147429084,-0.00017052841880468403,-0.0002277114287004773,-0.0005669422114400822,0.0009136921238644414
phi_jl_A,0.0005407928599451316,0.0006181755334422685,0.00016022159742685923,9.051959445144848e-05,-0.00023944964355267958,0.00042605012276358215,-0.00029586701859210047,0.0008485588417443224,0.0003646080982382431,-5.927095499263832e-05,0.0013108502495929179,8.856789838735368e-05,-0.0012365869796383884,-0.0006995983892355157,0.00024352010693663546
geocent_time_A,0.00043291329993127984,-0.0003703347468899663,-6.181707120520643e-05,1.9357934918862933e-05,-0.0006986338977724284,9.443960890225294e-06,0.0005683733270007029,-0.0006510882591174627,0.00011823285766785094,-0.000437831156216381,-0.00016720527686072399,2.5458037081420226e-05,0.000653050175878116,0.0005326804029900879,-0.00014733825374953872
