,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
x1,0.9999999999999999,2.840990156879586e-20,-8.251570395744856e-22,-1.1710008599362842e-21,-1.2854288186957592e-20,5.831639793063095e-20,-5.464426661017038e-20,-3.4509626499746453e-20,-2.1379161892134324e-19,-2.0410906729528365e-21,-1.2413955532884453e-19,-5.507803257930989e-20,-1.4322807223180515e-20,7.451110182695647e-20,6.955989183020165e-21,0.00031594414398046115,-8.228847105831454e-05,-0.0006890961842909548,0.000254647063479109,0.0009347165067575828,-0.00013968371069239015,0.000773910278716959,0.00011958158968634211,-0.0006328000652960199,0.00033410556213387164,-0.00027160520291358075,-0.00023866608040549173,0.00033522953641520667,-0.00029253112756156814,0.00015433971193013266
x2,9.103800003679055e-21,1.0,9.469021804648617e-20,5.164115973348502e-20,9.15253538696232e-20,2.1447317376304206e-20,-1.8296897411452688e-20,-1.4669551665584282e-21,-5.463063311020326e-20,3.0150982205197903e-20,8.424529636822629e-21,-8.705885005051466e-21,1.9483159194289047e-19,1.0581320094289006e-20,-1.3182053519165727e-19,0.0005033268617435421,-0.0010781293924521785,-0.0002537096812572732,-0.0002820864179542108,7.283173681159655e-05,0.0006116977944822152,-0.0005933918930939221,-0.00014082335537598164,0.00018940957004107356,-0.0007412661784481334,-0.0005629601727908087,-0.00043158297563025054,0.00031252994574751646,0.0004800897038250258,0.0005948376687648387
x3,2.0872736722036124e-20,1.247836434861283e-19,1.0000000000000002,-4.660810239773151e-19,-4.2726791250072345e-20,-1.546644892161505e-19,3.478506458895306e-19,1.4693410075524837e-20,1.2764745205661754e-19,7.628129432337874e-22,4.968047775624939e-19,1.4026334558887381e-19,2.857415876312711e-20,-3.6325223405894494e-19,-1.4549498463523982e-19,0.0002041236838279205,-0.00047472770522030423,0.0004828828082377911,-0.0005527708959982979,0.0001272893277731629,0.00019366437457893782,-0.0008415048216285278,0.0008185198590405924,0.00041521197951753535,-9.26147380061798e-06,0.0013353252499762357,0.0006088109609348973,0.00020841809580913537,0.00010315924611016139,-0.0010739061185468845
x4,3.628767727510637e-20,-8.240374978286044e-21,-4.931885600988123e-19,1.0000000000000002,-5.822905375238201e-20,6.427302142428528e-21,3.32710137797513e-20,1.0042227037456234e-19,4.969453808784547e-19,9.013583507207637e-20,-2.014459069712383e-19,-4.6667540963225393e-20,-3.4351632596290115e-19,1.1889687179606936e-20,-1.5884170225441727e-19,-0.0006710676890575,-0.0007772988496903699,0.00036933956779413294,-0.0007579975423524257,-0.0009921042712457801,8.415933855725075e-05,-0.0012018191115907549,-0.0002459072607058095,-0.0003163740993369991,5.7423977701705e-05,0.00034184478854094326,0.0005654121024386506,0.0013455725180941123,-0.000614726844929488,-0.0015195824417470547
x5,-2.20948592330641e-21,2.5011777611099756e-20,-9.531908017769886e-20,-4.470055768417018e-20,1.0,4.041191994039876e-19,5.036544800603303e-20,1.593318740615913e-19,-8.637770599872359e-20,5.559881067986723e-20,5.499238261675004e-20,1.9967075663668026e-19,-9.075209846412881e-20,7.5690086290676e-20,-1.4053135490458308e-20,-0.0010081130744718037,-0.0007545878204126365,3.274960406055695e-05,4.180287999715194e-05,-0.0002217480257695979,-0.000970170856643988,-3.581447323578606e-05,0.0009902253069536203,-0.00041715401681861083,0.00046452498922418793,0.0006770861925584665,0.00033666177240295034,0.0010912764037264461,0.00011078745668857504,0.0010978810275498495
x6,-3.748892194695573e-20,3.980545587114292e-20,-7.781346920378118e-20,1.600490638242699e-20,2.799132307245351e-19,0.9999999999999997,-4.551703540983798e-20,-8.072464507976305e-20,1.0332080010897495e-19,1.0444830712910113e-20,-8.418517162667832e-20,2.3418235366304845e-20,1.432168625226786e-19,-2.923319194396577e-19,1.7658958398660765e-20,-0.00048386192867474315,-0.0011692014273639658,-0.0005134198818718219,-0.0006594015314853321,0.00029985540353716513,-0.0008256220167518699,-0.0010220625132731744,0.00012894379796464373,-0.00042676685406067534,-0.0005616349065706334,0.00010360751314793883,0.00011199626300609388,0.00015015241101535274,-8.203906854438728e-05,0.0011087367291681546
x7,-5.3632981301306954e-20,2.6595186589121247e-20,3.0587846739671857e-19,8.737543494390552e-21,7.265244846293203e-20,-4.3141541355325186e-20,0.9999999999999999,-2.4371020929367705e-20,-1.920955146055727e-19,1.4846134905512598e-19,2.767285831462426e-19,-2.145238217845867e-19,-2.456457981683414e-21,-4.867955489973557e-19,4.685262701607228e-20,-0.00012913720068904994,-0.0001138908347919665,-6.174440100396343e-05,-0.0003226568086591802,0.00016536884047123435,-0.00026199488019853985,0.0004597379314345208,-0.00033511693287884833,-0.00025503832084026106,0.0002205164905982501,-0.0006314112105741403,-0.00029643381669116367,-0.00024983157804992986,-0.00031269670836835286,9.718791791918901e-05
x8,1.7302446702232616e-19,-4.9963711653215654e-21,4.005031139176096e-20,2.0101124593390299e-19,1.805501385422155e-19,5.402800705511532e-20,1.2514401385294513e-20,1.0,2.0541068969220535e-21,-1.58120178347275e-21,-4.6941365624459296e-20,-1.1273096337586724e-20,4.214186686277065e-20,-1.3726561741539074e-20,4.1851827383877954e-20,0.0002248662035401351,-0.0002481534892935494,2.335750205915968e-05,0.00029011351781094803,-1.59536404542195e-07,-0.0007166671429681035,-0.0004034143881109272,-0.0005688882952143562,8.419065353256252e-05,-0.0006834340851993345,-0.00048564528403397694,-0.00037970825503969507,-2.48084895103609e-05,1.0689404674222828e-06,0.0014909122831805626
x9,-2.988634420894513e-20,2.6882879123573263e-20,-1.1584110326294114e-19,6.296710523519113e-20,-1.3016313407954985e-19,5.121855208626785e-20,-1.0100938434674553e-19,1.6775951544733324e-21,1.0000000000000002,2.530499070219145e-20,2.1893837697769956e-19,-3.3816663280976863e-19,2.428944853800584e-19,-2.0719280981711795e-19,4.5383542185762184e-20,0.0005634496004812274,3.1984256439748184e-05,0.0007170923201144202,-3.664821064261076e-05,-0.0004360441374164512,7.211892340998734e-05,0.00023245183537845632,0.0015610398167184875,0.00022310015206832945,-0.00010680091093311532,0.0009090440773012495,0.0004062672424922457,-0.00042743345043534604,0.0009787423395909078,0.0005830791479382708
x10,4.069722791793341e-20,4.187278957863245e-20,1.0632445071246281e-19,3.281192148553587e-20,3.554322465022934e-20,1.4360634480753973e-20,2.7104187815961292e-20,1.3433568179219887e-21,8.753639879587055e-21,0.9999999999999999,-6.5487528533167885e-21,-2.5963548836923983e-19,-1.2921725500471287e-20,-1.0574364886697364e-19,-1.9705032828586617e-20,-0.0004894902657359055,2.760284140344235e-06,4.0435310607601734e-05,4.368458826708414e-05,0.0006733382579994338,-0.0007415381922032948,-2.5035257832254384e-05,-0.00030586078816686535,0.0010263287024463092,4.0660221154467264e-05,-0.000402108147943195,0.000207527098657429,-0.00016194563653135335,0.00043048080098780875,-0.00011890834841432931
